id;gum;es
4135;Tiuswei wamwane Tius ѳyamay chinrrai isungaruben treeg pѳriilѳ kѳn;Inspiración de las Escrituras ver Palabra de Dios
4136;chigѳben trѳmbѳig kѳsѳngѳnrraptiig mariilѳ;Inmundicia impureza
4137;Tius wami misaamera Cristѳn kѳrebelѳ nui asr kѳb lataig kѳn;Iglesia cuerpo de Cristo
4138;kaigwan tѳga kal laig kaig marѳb pasrabig;Hombre Viejo ver Naturaleza Vieja
4139;Tiuswei ureemera;Hijos de Dios ver Adopción y Salvación
4140;nui ureebañau;familia
4141;sralѳ;esposas
4142;kelѳ;Esposos
4143;Tiuskurri chiwan kѳben ke trunundѳ isua muniirab;Esperanza
4144;Tius nѳ keta traniilѳ;Dones espirituales
4145;srawan kui kewan kui kucha yandѳ tarѳmisrѳb;Divorcio
4146;Inchawei Tiuswei wamwan pѳrigube trenchibig kѳn: Mѳikkѳben truba nuig kѳmmѳrѳ inchib waminchib pasrag kѳbene, Señѳrweimburappe mѳg inchib waminchib pasrѳbash cha.;De esta manera, como dice la Escritura: Si alguno quiere enorgullecerse, que se enorgullezca del Señor.
4147;mugucha Tiuswei merrab nѳrreelѳ misrѳb mѳg inchib pѳnrrѳmѳnrrai.;Así nadie podrá presumir delante de Dios.
4148;Yu pirau chugúinguen mѳrmubendѳ wamindi lataig tѳgagúigwan Tiusbe truigwan wesrawa basrig kѳn, tru purѳ nѳrrѳ kusrebelan kѳrig mara gѳrrѳmartrab. Katѳ yu pirau kwa gaizheelѳ gѳnmab asha tѳgagúilan Tiusbe truigwan wesrawa basrig kѳn, nѳrreelan kѳrig mara gѳrrѳmartrab.;Y es que, para avergonzar a los sabios, Dios ha escogido a los que el mundo tiene por tontos, y para avergonzar a los fuertes, ha escogido a los que el mundo tiene por débiles.
4149;Kaguende Tiuswei tru chugúinguen mѳrmubendѳ wamindi lataig asѳnabiibe mѳguelѳ purѳ may isua wamindi lataig kѳmѳtѳ, mas purab nuig kѳben, katѳ Tius tru itѳnaptiig lataig kuibe, kan mѳwei fuerzas lataikken gѳmѳtѳ, purab murikken gѳn.;Pues lo que en Dios puede parecer una tontería, es mucho más sabio que toda sabiduría humana, y lo que en Dios puede parecer debilidad, es más fuerte que toda fuerza humana.
4150;Trune nambe Cristѳ kurusyu kwaigwan eshkab kusrenanѳbelѳ guer. Truibe judíѳsmeraimbe ke ka srurrengwangarubig kѳben, judíѳs kѳmѳ misaameraimbe ke chugúinguen mѳrmubendѳ wamindig, treeg kѳn.;pero nosotros anunciamos a un Mesías crucificado. Esto les resulta ofensivo a los judíos, y a los no judíos les parece una tontería,
4151;Kaguende Tiusbe, tru nui muguen nebua kusremgaig kusrebig kuigu, yu pirau misaamerabe nѳmui tru purѳ nѳrrѳ kusrewa tѳgagúitѳgabe nun nebua ashmѳnrrai indig kѳn. Pѳs tru chugúinguen mѳrmubendѳ wamindig mara tѳgagúigwan eshkab kusrenaniitѳga nun kѳrebelane kaigyugurri wesramig, Tiuswane tabig asѳnaig kѳn.;Puesto que el mundo no usó su sabiduría para reconocer a Dios donde él ha mostrado su sabiduría, dispuso Dios en su bondad salvar por medio de su mensaje a los que tienen fe, aunque este mensaje parezca una tontería.
4152;Kaguende trenchibig pѳrig pasran: Purѳ gusreb mѳguelѳ chigurrimbunѳ nebua kusrewa tѳgagúilane pinisamѳnrrun cha. Kusrebelѳ nѳm chigúi mѳra tѳgagúilane chigucha gѳmíig mara kaasha kѳrrѳmaramѳnrrun chibig;Como dice la Escritura: Haré que los sabios pierdan su sabiduría y que desaparezca la inteligencia de los inteligentes.
4153;Kaguende nane Cristѳbe misagwan piu umbu ulsrѳb uñchai ѳrmѳtѳ, Tiuswei tru tabig srѳ wamwan eshkab kusrenanrrai ѳrig kѳn. Incha nabe waminchibgucha, nѳrrѳ wammeratѳga purѳ may waminchimur, Cristѳ kurusyu kwaigwane chigucha gѳmíig kui lataig marig kѳmѳnrrai.;pues Cristo no me mandó a bautizar, sino a anunciar el evangelio, y no con alardes de sabiduría y retórica, para no quitarle valor a la muerte de Cristo en la cruz.
4154;nai munchiyu piu umbu ulsrailѳ guer chib mugucha trenchib gѳmѳnrrai.;Así nadie puede decir que fue bautizado en mi nombre.
4155;Trube, treeg kѳbene, ¿Cristѳbe nuin gúi, nuin gúi misra basra chindah? Kabe ñimuyasig kurusyu kwanrrai mesrѳppe, ¿na Pablѳn mesraig kѳ chindah? Kabe ñimun piu umbu ulsrѳbgucha ¿nai munchiyu piu umbu ulsraig kѳ chindah?;¿Acaso Cristo está dividido? ¿Fue crucificado Pablo en favor de ustedes? ¿O fueron ustedes bautizados en el nombre de Pablo?
4156;Nai nunelѳ, mѳilѳgѳsrѳn Clѳéwei yauelѳbe nane eshkatan, ñimbe kwayam labrre waran cha.;Digo esto, hermanos míos, porque he sabido por los de la familia de Cloe que hay discordias entre ustedes.
4157;Tiusbe nѳbe maig martrab chippe, treegwan marѳbig kѳn. Ñimbe nѳgurri wamiilѳ gúig kѳn, nui Nusrkai Jesucristѳ namui Señѳrba lincha bѳnrramig kѳnrrai.;Dios siempre cumple sus promesas, y él es quien los llamó a vivir en unión con su Hijo Jesucristo, nuestro Señor.
4158;Katѳgucha srabegatig ñim kѳrrѳmѳ mur bѳnrrѳnrrai nѳbe tѳga basrѳnrrun, namui Señѳr Jesucristѳ gatѳ arrub gwalѳm chi kaig mariilѳ chigar bѳnrramig kѳnrrai.;Dios los mantendrá firmes hasta el fin, para que nadie pueda reprocharles nada cuando nuestro Señor Jesucristo regrese.
4159;Trumay Cristѳi tru srѳig tabigwan wamindiibe ka wamindiitѳ gѳmѳ, ñimuinuube ciertѳn kѳrrѳmisrin gѳn,;ya que el mensaje acerca de Cristo se estableció firmemente entre ustedes.
4160;Kaguende chiyutѳgucha ñimbe nuinug purѳ nѳrrѳ tѳgagѳnrrai traniilѳ gѳn, kerrigu wamindigu lata, kerrigu nebua ashib ambigu lata.;Pues por medio de él Dios les ha dado toda riqueza espiritual, así de palabra como de conocimiento,
4161;Chu urastѳgucha nabe Tiuswane ñimuimburab ungwa, ungwa chibig kur, Cristѳ Jesúskurri ñimun Tius ka yandѳ tab indigwan tranikkurri.;Siempre doy gracias a mi Dios por ustedes, por la gracia que Dios ha derramado sobre ustedes por medio de Cristo Jesús.
4162;Cѳrintѳsrѳ iglesiayuelan, Cristѳ Jesúskurri tru Tiusweyasig tarѳmariilѳ, nuyasiitѳ newan tabelѳ gѳnrrai wamiilanba, katѳ tru mayeelѳ chutѳgucha namui Señѳr Jesucristѳi munchiwan wamabelanba, truibe namuimba, nѳmuimba Señѳrwan.;a la Iglesia de Dios que está en Corinto. A ustedes que, consagrados por Cristo Jesús, han sido llamados a ser pueblo de Dios en unión con todos los que invocan en cualquier lugar el nombre de Jesucristo, que es Señor de ellos y de nosotros,
4163;Indiibe yandѳ pѳn bila puraiben, Jerusalénsrѳ nabe Pedrѳba waminchab ya, trusrѳ nѳba parru kѳrrѳmisrѳbig kur.;Tres años después fui a Jerusalén para conocer a Cefas, con quien estuve quince días.
4164;nui Nusrkawan na nebua ashchai kenamarig kѳn, judíѳs kѳmѳ misaamerai utu nuimburabigwan na eshkab kusrenanamig kѳnrrai. Inchen nabe tru urastѳ mu mѳwan paya mѳrmѳwei,;revelar a su Hijo en mí, para que yo le predicase entre los gentiles, no consulté en seguida con carne y sangre,
4165;Namui misag utu, naba guetѳtѳ nѳrrѳrawarwei utu mѳilan gѳben nabe kanab gusrebig kѳbig kur, judíѳsmera Tiusweyasig maig maramelѳyube, kaguende nabe merrabsrѳ namui kѳlli misaamera maig marѳb amrruigwane maikken purѳbuniimíig kѳnrrai inchibig kѳbig kua.;y en el judaísmo aventajaba a muchos de mis contemporáneos en mi nación, siendo mucho más celoso de las tradiciones de mis padres
4166;Iigwan ñim, nai nunelan, wammѳrѳsrkѳnrrab inchar, tru tabig srѳ wamwan na eshkab kusrenaniibe mѳguelѳ nѳmdѳ isua wesruigwan wamindikkucha gѳmѳn.;Sepan ustedes esto, hermanos: el evangelio que yo anuncio no es invención humana.
4167;Pѳs nabe, kan mѳwan utig kѳmѳwei, katѳ kan mѳg kusrenanig kѳmѳwein gur. Treeg kѳmѳtѳ, nan Jesucristѳ ashchai kenamaren, treeg utig kѳbig kѳn.;No lo recibí ni lo aprendí de hombre alguno, sino que Jesucristo mismo me lo hizo conocer.
4168;Namdѳwein gúi lata, kabe kan ángel srѳmbalasriig kui lata, tru tabig srѳ wamwan nam ñimun eshkab kusrenani lataig kѳmѳtѳ, katѳgan peemaytѳ yunѳmara waminchibiibe, managatig trѳmbѳig nebuig pasrѳnrrai pasrig kѳbash.;Pero si alguien les anuncia un evangelio distinto del que ya les hemos anunciado, que caiga sobre él la maldición de Dios, no importa si se trata de mí mismo o de un ángel venido del cielo.
4169;Tabig srѳ wam katѳgan peg kuimba gѳmѳtѳ, mѳilѳgѳben ñimune ke ka ilѳsrkѳb, Jesucristѳi tabig srѳ wamwane ke kan mumaygucha gѳmíig kѳnrrai mindisha bѳnsrѳg kѳb indan.;En realidad no es que haya otro evangelio. Lo que pasa es que hay algunos que los perturban a ustedes, y que quieren trastornar el evangelio de Cristo.
4170;Truigwan tѳrguegwalmabig kѳnrrun managatig. Treeg kѳnrrun.;¡Gloria a Dios para siempre! Amén.
4171;Truibe nam kaig mariilaimburab nѳashib kwanrrab pasramisrig kѳn, nam warain gwalѳm larrѳ gaig pasrabigugurri namun wesraig kѳnrrai, tru namui Tius Mѳskai maig kѳnrrain gѳben, trumay.;Jesucristo se entregó a la muerte por nuestros pecados, para librarnos del estado perverso actual del mundo, según la voluntad de nuestro Dios y Padre.
4172;Namui nunelѳ mayeelѳ naba warabelѳba Galacia birausrѳ iglesiameran i kilgawan na pѳrar.;saluda, junto con todos los hermanos, a las iglesias de Galacia.
4173;Pѳs ñimwein gѳn tru nam maya nuguen tab gúi mѳrѳb pѳnrramiba, nam kasrag kui pѳnrramibabe.;Sí, ustedes son nuestra gloria y nuestra alegría.
4174;Pѳs tru nam tѳgagѳnrrurmab isua munig melamiba, namui kasrag kѳbiiba, katѳ Señѳr Jesucristѳ arruben, nui merrab nam kan cѳrѳna lataig kanawa nam uta, purѳ tab gúi mѳrѳb pѳnrramibe ¿ñimwein gѳmѳtirru?;Pues, ¿quién es nuestra esperanza, nuestra alegría y nuestro motivo de orgullo delante de nuestro Señor Jesús, cuando él regrese? Si no lo son ustedes, ningún otro lo será.
4175;Namui nunelѳ, nam ñimba maya yana gѳsrѳn tarѳmisra, ashippe, ashmubendѳ, namui manrraube chu uraskucha ñimune pesannamѳ tѳga bѳnrrѳwa, ñimun malaugue ashchab amrrug kѳbiitѳ truba rruba inchib melaig kѳn.;Hermanos, cuando nos separamos de ustedes por algún tiempo, aunque no los veíamos, siempre los teníamos presentes en nuestro corazón y deseábamos mucho ir a verlos.
4176;Tru judíѳsmerabe Señѳr Jesúswan kweetsamba, tru Tius maig karuigwan eshkabelan kweetsamba, namune nѳmuinukkurri webetamba indig kѳbig kѳn. Incha truilѳbe Tiuswane tab gúi wanrrai marmeelѳ, maya misaameran ashig kѳmuingѳba inchibelѳ gѳn,;Estos judíos mataron al Señor Jesús, como antes habían matado a los profetas, y nos echaron fuera a nosotros. No agradan a Dios, y están en contra de todos,
4177;Inchawei nambe chu urastѳgucha Tiuswan ungwa, ungwa chibelѳ guer. Kaguen tru Tiuswei wamwan nam waminchen ñim mѳrѳb uras, ka mѳguelѳ wamindig kui lataitѳ mara utѳmѳtѳ, Tiuswei wam ciertѳnig kuitamab isua utig kѳn ñimbe. Truibe tru ñim kѳrebelainuube ka basrѳmѳtѳ, marig misrѳb pasran.;Por todo esto, no cesamos de dar gracias a Dios, pues al recibir la palabra de Dios que les anunciamos, la aceptaron no como palabra de hombre, sino como lo que es en realidad, como palabra de Dios, que sigue actuando en ustedes los creyentes.
4178;Pѳs ñimbe ashibelѳ gѳn, nambe ñimun mѳigwandѳgucha kan mѳskai nui uregwan waminchib lataitѳwei,;Saben que tuvimos con cada uno de ustedes la misma relación que un padre tiene con sus hijos,
4179;Tru estrellabe Ajenjѳ munchi gѳbig kѳn. Inchen pimera tru pѳnyu kanun itѳbenimburappe, larrѳ rrѳmbѳ mѳbgѳlig misren, misaamerabe tru mѳb pimeragurri truba rruba nѳrrѳ gwabelѳ gѳn.;La estrella se llamaba Amargura, y la tercera parte de las aguas se volvió amarga, y a causa de aquellas aguas amargas murió mucha gente.
4180;truyu ѳsig purrabelѳbe tѳbѳtag lutau chab gwaben, katѳ tru maryu barcѳmera maya kѳbiibe tѳbѳtag lutau chab pinabig kѳn.;La tercera parte de todo lo que vivía en el mar, murió, y la tercera parte de los barcos fueron destruidos.
4181;Inchen tru ángel pagatѳ gѳnrrabyuig nui trѳmpetan urrѳbene, kan purѳ nu tun ѳrѳba naarab lataigwan maryu keguchene, marbe tѳbѳtag lutau ani misren,;El segundo ángel tocó su trompeta, y fue lanzado al mar algo que parecía un gran monte ardiendo en llamas, y la tercera parte del mar se volvió sangre.
4182;Inchen tru ángelesmera sieteelѳ tru siete trѳmpetameran sruarbe urrѳnrrab yandѳ tamara pѳnrramisrѳbelѳ gѳn.;Los siete ángeles que tenían las siete trompetas se prepararon para tocarlas.
4183;Inchen tru may irrabig patig naguishba, Tiuswei misaamera tru nѳba wamindiilѳbabe Tiuswei merrab nebibig kѳn tru ángelwei tasigugurri.;El humo del incienso subió de la mano del ángel a la presencia de Dios, junto con las oraciones del pueblo santo.
4184;Inchene ángelesmera sieteelѳ Tiuswei merrab pѳnrrai ashibig kur. Inchen nѳmune siete trѳmpetas tranѳbig kѳn.;Luego vi a los siete ángeles que estaban de pie delante de Dios, a los cuales se les dieron siete trompetas.
4185;Señѳr namui Tius, ñibe maya nuguen tabigwanba, tabig kui asha tab indigwanba, maramburab maramigwanba utambuawei utѳnrrabiibe ñi gѳn chib, kaguende chiwandѳgucha kerrigu ñi marig kuimba, Ñi treeg kѳnrrai isuikkurri treeg mariilѳ, treeg pѳnrran chib.;Tú eres digno, Señor y Dios nuestro, de recibir la gloria, el honor y el poder, porque tú has creado todas las cosas, por tu voluntad existen y han sido creadas.
4186;Tru managatig ѳsig wanrrabig, tru karub wainug wabigwan, tru pibgatѳ ѳsiguelѳ maya nuguen tab gѳnrrun chib, tabig kui asha tab inchib, ungwa, ungwa chibelѳ gѳn.;Y cada vez que los seres vivientes daban gloria, honor y acción de gracias al que está sentado en el trono y vive por siempre,
4187;Inchen tru ѳsiguig srѳsriibe kan león lataig kѳben, tru wendauibe kan tѳrѳ lataig kѳben, katѳ tru wendauibe kan mѳwei malѳ lataig kѳben, tru pib gѳnrrabyuibe kan wasrѳ pala uñib lataig kѳbig kѳn.;El primero de aquellos seres parecía un león, el segundo parecía un toro, el tercero tenía aspecto humano, y el cuarto parecía un águila volando.
4188;Inchen tru nѳ wamisra karub wainug truyugurrimbe sre bilabelѳ gѳben, wammera gѳben, palaig rrashibelѳ gѳben webambubig kѳn. Katѳ tru karub waig merrappe lámparamera nag bilabelѳ siete pilab pѳnrrabig kѳn, truilѳbe tru Tiuswei siete espíritumera gѳn.;Del trono salían relámpagos, voces y truenos, y delante del trono ardían siete antorchas de fuego, que son los siete espíritus de Dios.
4189;Inchen truyu wabiibe kan jaspe sruuba, cѳrnalina sruuba lataig kѳbig kѳn. Inchen tru nѳ waim bѳtѳgatanbe kan kѳshѳmbѳtѳ kan esmeralda srug latazhig pasrabig kѳn.;El que estaba sentado en el trono tenía el aspecto de un diamante o de un rubí, y alrededor del trono había un arco iris que brillaba como una esmeralda,
4190;Inchen tru urastѳ Espíritu nѳ nan tѳga basramisren, srѳmbalasrѳmbe tru karub wamisra wamig kan pasrig pasrai nabe ashibig kur. Inchen truyube kan mugѳsrѳn wabig kѳn.;En ese momento quedé bajo el poder del Espíritu, y vi un trono puesto en el cielo, y alguien estaba sentado en el trono.
4191;Truilai utube, Himeneѳba, Alejandrѳba treeg melan. Inchawei nabe truilane Satanás nѳ asha martrai nui tasku pѳnsrar, Tiuswan purѳ rrѳmbѳig wamumum gusrenrrai.;Esto les ha pasado a Himeneo y Alejandro, a quienes he entregado a Satanás para que aprendan a no decir cosas ofensivas contra Dios.
4192;Timѳteѳ, nai nusrkai lataig, i maramigwan martrunrrig cha na ñun karua basrar. Tru ñi maig kѳnrrabig kuigwan merrabsrѳwei ñuimburab Tius maig karuben eshkailan, truilan isua basramisra, Señѳrweimburabelan elatchab gѳmѳ, may gwayanrrig,;Esta es la recomendación que te hago, Timoteo, hijo mío, conforme a las palabras proféticas que fueron pronunciadas sobre ti: con los ojos puestos en ellas, participa en este hermoso combate,
4193;Incha Tiusbe treeg kѳptѳwei nane lastima asig kѳn, tru kaig marѳbelai utu na mas larrѳ gaigwan Jesucristѳbe chugatikkucha nѳ nan tammay ka awentab wabig kuin gúi kenamartrab, tru managatig ѳsig kѳmigwan tѳgagѳnrrab, tru wendѳsrѳ nun kѳrenrrabelѳ nan ѳyeeg marigwan asha gѳnrrai.;Pero Dios tuvo misericordia de mí, para que Jesucristo mostrara en mí toda su paciencia. Así yo vine a ser ejemplo de los que habían de creer en él para obtener la vida eterna.
4194;Inchendѳ namui Señѳrwei tru ka yandѳ tab indiibe naim bala purab nuikken arrig kѳn, tru isubigwan nuinuutѳ pasra tѳgagѳmiba, undag kѳbiiba kanbalatѳ Cristѳ Jesúsweinug pasrabig.;Y nuestro Señor derramó abundantemente su gracia sobre mí, y me dio la fe y el amor que podemos tener gracias a Cristo Jesús.
4195;Cristѳ Jesús namui Señѳrwan na mayanguen ungwa, ungwa chinrrab, muraaramѳ marѳb megamig kѳnrrai tranѳbigwan, kaguende tru nui maramelѳyu chi isumgaig marѳb meganrraptiig kui asha nan pasrigwan.;Doy gracias a aquel que me ha dado fuerzas, a Cristo Jesús nuestro Señor, porque me ha considerado fiel y me ha puesto a su servicio,
4196;mѳguelѳ ishumburba nѳmui asrtѳga trѳmbѳig marѳbelaimba, katѳ mѳguelѳbe mѳguelѳasiyaitѳ trѳmbѳig marѳbelaimba, misagwan karuindiig melѳnrrai nila yanѳbelaimba, isa waminchipteelaimba: nabe si, isatѳ waminchimur chibendѳ, isapteelaimba, tru tabig sѳlwan gusrenanigwan chigurrimbunѳ kaitѳga itѳѳra bѳnsrѳbelaimba gѳn,;a los que cometen inmoralidades sexuales, a los homosexuales, a los traficantes de esclavos, a los mentirosos y a los que juran en falso, es decir, a los que hacen cosas que van en contra de la sana enseñanza.
4197;Pѳs tru maig maramigwan martrai Mѳisés pѳriibe tabigwein gúi ashibwei inchibelѳ guer, tru chiyuwei maramigwan treegweyasig merrarrawa marene.;Sabemos que la ley es buena, si se usa de ella conforme al propósito que tiene.
4198;Inchawei mѳilѳgѳben truilѳma ѳyeeg kѳmigwan yandѳ pella tarѳmisra, nѳmuimburab ke ka chine wamincha mѳrѳb gúilѳyutѳ chab tarѳmisrin gѳn.;Algunos se han desviado de esto y se han perdido en inútiles discusiones.
4199;katѳ chi treeg kѳmubendѳ nѳmdѳ isua wamindiilanba, katѳ nѳmbe i misaamerainukkurri amrrubelѳ guer chib, tru munchimera kan managuen patsѳnrrabgaig arrubigwanba, tru gúindѳ mѳrѳb pѳnrrѳmѳnrrai ashib pasrѳnrraimba. Treelѳbe ka kwayab waramigweindѳ gѳn, tru isubigwan Jesucristѳinuutѳ pasra tru Tiusweimburabelan marѳbig marѳb ambamigwan purugunrrab gѳmѳtѳ.;ni presten atención a cuentos y cuestiones interminables acerca de los antepasados. Estas cosas llevan solamente a la discusión y no ayudan a conocer el designio de Dios, que se vive en la fe.
4200;nui isubigwan Jesucristѳinug pasra tѳgaig, tru ciertѳn nai nusrkai lataig ñi Timѳteѳwan i kilgawan pѳrar. Tius Mѳskaimba, Cristѳ Jesús namui Señѳrba nui ka yandѳ tab indigwan gѳben, lastima asigwan gѳben, chi isumgaig tab gѳbigwan gѳben ѳrtraimab isua inchar.;saluda a Timoteo, verdadero hijo en la fe. Que Dios nuestro Padre y Cristo Jesús nuestro Señor derramen su gracia, su misericordia y su paz sobre ti.
4201;katѳ Tius tru kwailai utugurri ѳsiirangaruig tru srѳmbalasrѳngurri nui Nusrkai arrumigwan muniiranrrab pѳnrramisrigwanba, tru Tiuswei purѳ rrѳmbѳig namig kѳbig attrab pasrabigwan Jesús namun chi treeg kѳmѳnrrai marѳbigwan.;y esperar que vuelva del cielo Jesús, el Hijo de Dios, al cual Dios resucitó. Jesús es quien nos salva del terrible castigo que viene.
4202;Tru Señѳrwei wam ñimuinukkurri larrѳbichib ibiibe, Macedѳnia birautѳ gѳmѳwei, Acaya birautѳ gѳmѳwei, chusrѳndѳgucha larrѳbitsin gѳn. Katѳ trutѳ gѳmѳtѳ, ñim isubigwan Tiusweinug pasra tѳgagúigwan chigucha nebua asig misrin gѳn. Treekkurri namune yandѳ mas chi tamig palѳnrrabga lataig kѳtan.;Partiendo de ustedes, el mensaje del Señor se ha extendido, no sólo por Macedonia y Acaya, sino por todas partes, y se sabe de la fe que ustedes tienen en Dios, de manera que ya no es necesario que nosotros digamos nada.
4203;Ñimbe ñimuimburappe nam lataitѳwei, katѳ Señѳr lataitѳwei mandѳ amѳnamigwan treeg amѳñibelѳ misrin gѳn, Espíritu Santѳgurri Tiuswei wamwan tranigwan truba kasraatѳ utab, chine purѳ rrѳmbѳig isuig melamig nebuingucha.;Ustedes, por su parte, siguieron nuestro ejemplo y el ejemplo del Señor, y recibieron el mensaje con la alegría que el Espíritu Santo les daba en medio de grandes sufrimientos.
4204;Namui nunelѳ, Tiuswei undaarailѳ, ñimune Tius lawa wesruilѳ gúin gúi aser.;Hermanos amados por Dios, sabemos que él los ha escogido.
4205;Chu uraskucha nambe Tiuswan ungwa, ungwa chibelѳ guer ñim mayeelayasig. Katѳ chu uraskucha nam Tiusba wamindigube ñimuimburab tѳga isuppatѳ melabelѳ guer.;Siempre damos gracias a Dios por todos ustedes, y los recordamos en nuestras oraciones.
4206;Inchen truibe Cristѳi asr kѳn, Cristѳ nѳtѳwei tru chigucha chi palѳmíig netsiig pasraig. Cristѳbe treetѳwei chi kѳbigu mumaytѳgucha nѳtѳ netsiig pasrabig kѳn.;Pues la iglesia es el cuerpo de Cristo, de quien ella recibe su plenitud, ya que Cristo es quien lleva todas las cosas a su plenitud.
4207;Incha Tiusbe tru chigurrimbunѳ kѳbigwanguen Cristѳ nѳ maig kѳnrrain gѳben treeg pѳnrrѳnrrai pѳnsra, iglesiaimbe chiyutѳgucha nѳ tur gѳnrrai pasrig kѳn.;Sometió todas las cosas bajo los pies de Cristo, y a Cristo mismo lo dio a la iglesia como cabeza de todo.
4208;Tius tru Cristѳn kwailai utugurri gatѳle ѳsiirangarua, tru srѳmbalasrѳ nѳ wainug nui kusrmay wamisrtrai maramburab mariitѳgatѳwei marѳb pasran.;cuando resucitó a Cristo y lo hizo sentar a su derecha en el cielo,
4209;Katѳ chigúi mѳrѳb nebua asamig ñimui isubigu tѳrgandѳ kebiliilѳ gua, tru ñim tѳgagѳnrrurmab isua muniirab melѳnrrai ñimun wamigwan, ѳyeeg kѳbig kuin gúi nebua ashchaimba, tru nui misaameran keta trannrrab misrig chigucha palѳmíig purѳ nuig purѳ tabigwan ѳyeeg kѳbig kuin gúi nebua ashchaimba,;Pido que Dios les ilumine la mente, para que sepan cuál es la esperanza a la que han sido llamados, cuán gloriosa y rica es la herencia que Dios da al pueblo santo,
4210;chu urastѳgucha na Tiusba wamindigu tѳgatѳ isub palѳmѳ, ñimuimburab ungwa chibig kur.;no dejo de dar gracias a Dios por ustedes, recordándolos en mis oraciones.
4211;Inchawei treekkurri tru ñimui isubigwan Señѳr Jesucristѳinug pasra tѳgagúigwanba, katѳ Tiuswei misaameran mayeelanba ñim truba undaguelѳ gѳn daig na wammѳrabe,;Por esto, como sé que ustedes tienen fe en el Señor Jesús y amor para con todo el pueblo santo,
4212;Katѳ treetѳwei ñimbe nuinug tru wam newan ciertѳnig, tru tabig srѳ wam kaigyugurri wesrabigwan ñim mѳra, nun kѳreben, tru trannrrab misra kѳrrѳmisrig Espíritu Santѳtѳga Tiusweyelѳ gúin gúi asiilѳ gѳnrrai ñimbe sellailѳ gúig kѳn.;Gracias a Cristo, también ustedes que oyeron el mensaje de la verdad, la buena noticia de su salvación, y abrazaron la fe, fueron sellados como propiedad de Dios con el Espíritu Santo que él había prometido.
4213;Tѳn, Tѳn, Tѳn;Ton, Ton, Ton
4214;Yanѳp;vender
4215;Kѳlap;secarse
4216;Mul lap;secando
4217;LushipPachirap;calentar
4218;Luship;derramar
4219;TuktukMuintusr;frailejón
4220;Kuachi;ardilla
4221;Lulmish;tigrillo
4222;Payaun;danta
4223;Nupi;rio
4224;Kappi;lagrima
4225;Ye;papa
4226;Usá;gallinazo rey
4227;Taa;tucán
4228;Kaluyapenku;conejo
4229;Kuchi;cerdo
4230;Wera;perro
4231;Upisha;oveja
4232;Tsa illi;avión
4233;Pantrѳ;para abajo
4234;Untakѳpik;amor
4235;Untak;cariño
4236;Pialѳ;sueños
4237;Unkua;gracias
4238;Atuall;gallina
4239;Pѳr;escribe
4240;Srѳna;mañana
4241;Nimpasr;hija
4242;Pѳlѳm;mosca
4243;Ñitѳ;usted solo
4244;Michi;lleno
4245;Trik;boca
4246;Tre;sal
4247;Trerѳ;podrido
4248;Par;dos
4249;Pirѳ;tierra
4250;Pash;pegar
4251;Pѳshik;chicha
4252;Ѳsik;vivo
4253;YanukѲya;así
4254;Yalik;negro
4255;Tap;bueno
4256;Kep;poner
4257;Palѳ;tambor
4258;Pil;mazorcar
4259;Pѳsr;sol
4260;Pila;año
4261;Pitsѳ;leche
4262;Pi;agua
4263;Nan;ami
4264;Sran;sangrefique
4265;Nulѳ;orzuelo
4266;Netsѳ;lleno
4267;Nilѳ;lengua
4268;Nunek;hermano
4269;NaNak;candela o fuego
4270;Tsulak;sopa
4271;Le;nido
4272;Tsim;ratón
4273;Tsѳk;crudo
4274;Tsik;palo
4275;Kikul;cachos o cuernos
4276;Sraik;tejido
4277;Sruk;piedra
4278;Ѳsrѳ;allá
4279;Srusrѳ;señorita
4280;Sru;huevo
4281;chiyugѳben kanawa webarrua pasrab;Victoria
4282;Cristѳi misaamera kѳppe kanguelarrѳtѳ tabig lincha pѳnrrab;Unidad cristiana
4283;chiyugѳben kaigyu kebenѳsrkѳnrraindinab;Tentación
4284;Tiusbe managuen nuyelane elachimíig kѳn;Matrimonio Soledad
4285;mѳpa ishu misakpa pailѳ  misri;Matrimonio
4286;kasharawarmera nѳmui sralѳba, nѳmui kelѳba mandѳ kѳmig kieynuk;Sexo
4287;chishig tabigweindѳ tarѳmarig;santificado
4288;kaiyugurri tarѳmarik;Santificación
4289;Cristѳi misaamerabe nѳ maig amѳñinrrain kѳben treeg amѳñib;Responsabilidad del cristiano
4290;Tius nѳ ashib karub pasrainug Tiusbe nѳ maig maramigwan marѳb pasraig;Reino de Dios
4291;chishchig pѳnrramig;Pureza
4292;yu pirau maikѳtashchap pupik;Pruebas
4293;Tiusweimburabelѳyu chigúingucha tarѳmisrmѳ, melabig melabchiwangѳben ke kan chinchaptѳ inchib isub;Preocupación
4294;kaig marig pasrabig;Pecado
4295;Cristѳ nui pera uniilan Tius tru namui Mѳskaimba wamindamigwan kusrenanig;Padre Nuestro
4296;Tius misagweyasig katѳgan acuerdѳ srѳig ѳyeeg martrab cha, mara pasrig;Nuevo pacto
4297;ѳsig kѳmig yu pirau patsap;Muerte
4298;kasharawar;matrimonio
4299;Tiuswei ureemera kѳppe kaig maramigu srua ambiilѳ kѳmumig;Libertad cristiana
4300;chu uragucha tampmayig ka isaba inchimíig;Humildad
4301;managuen kwamѳ nagu mumayguen kѳmuig mѳra melaisrѳ;Infierno
